Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
AMPHIURIDAE,"Microphiopholis puntarenae","(Lütken, 1856)",,,175778
AMPHIURIDAE,"Ophiocnida hispida","(Le Conte, 1851)",,,26339
AMPHIURIDAE,"Ophiostigma isocanthum","(Say, 1825)",,,156690
AMPHORISCIDAE,"Leucilla nuttingi","(Urban, 1902)",,,103250
AMPITHOIDAE,"Ampithoe humeralis",,,,58740
AMPITHOIDAE,"Ampithoe lacertosa","Bate, 1858",,,58741
AMPITHOIDAE,"Ampithoe lindbergi",,,,58734
AMPITHOIDAE,"Ampithoe longimana","S. I. Smith, 1873",,,58738
AMPITHOIDAE,"Ampithoe plumulosa","Shoemaker, 1938",,,58742
AMPITHOIDAE,"Ampithoe simulans","Alderman, 1936",,,58728
AMPITHOIDAE,"Ampithoe valida","S. I. Smith, 1873",,,58739
AMPITHOIDAE,"Cymadusa uncinata","(Stout, 1912)",,,58745
AMPULLARIIDAE,"Pomacea bridgesi","(Reeve, 1856)","spiketop applesnail",,12431
AMPULLARIIDAE,"Pomacea canaliculata","(Lamarck, 1828)","channeled applesnail",,11699
AMPULLARIIDAE,"Pomacea paludosa","(Say, 1829)","Florida applesnail",,12430
ANABATHRIDAE,"Amphithalamus inclusus","Carpenter, 1864",,,5923
ANABATHRIDAE,"Amphithalamus lacunatus","Carpenter, 1864",,,5924
ANABATHRIDAE,"Amphithalamus tenuis",,,,5927
ANAPRONOIDAE,"Anapronoe bowmani","Zeidler, 1997",,,236250
ANAPRONOIDAE,"Anapronoe reinhardti","Stephensen, 1925",,,75601
ANARTHRURIDAE,"Chauliopleona dentata","Dojiri and Sieg, 1997",,,65620
ANATINELLIDAE,"Anatina anatina","(Spengler, 1802)","smooth duckclam",,20575
ANATINELLIDAE,"Raeta undulata","(Gould, 1851)","Pacific duckclam",,20583
